1;149;chr1;+;37429265;37431118;37431134;37434423;2.67
2;302;chr1;+;65238869;65239109;65239140;65242230;5.45
3;316;chr1;+;66448096;66463307;66463440;66466709;2.1
4;319;chr1;+;66729862;66732191;66732246;66739082;1.71
5;600;chr1;+;120457695;120461721;120461836;120467426;6.21
6;1130;chr1;-;22387645;22388681;22388862;22394525;1.89
7;1174;chr1;-;36485307;36486269;36486300;36495595;2.07
8;1212;chr1;-;38593759;38595773;38595846;38603606;1.44
9;1457;chr1;-;83260410;83262545;83262630;83263877;4.98
10;1992;chr1;-;183860894;183861306;183861316;183865791;5.83
11;2309;chr2;+;29855583;29856621;29856679;29857751;3.26
12;2512;chr2;+;62081511;62082410;62082498;62088436;1.84
13;3251;chr2;+;174159786;174162249;174162292;174167154;1.43
14;3497;chr2;-;25147649;25149959;25150068;25151312;4.14
15;3523;chr2;-;25808340;25810781;25810812;25811767;15.01
16;3721;chr2;-;40452595;40453934;40454031;40455774;9.77
17;3781;chr2;-;59771773;59773273;59773337;59774743;1.62
18;4158;chr2;-;121147529;121152589;121152650;121153381;2.16
19;4745;chr3;+;40838012;40839689;40839797;40840612;1.48
20;4794;chr3;+;55320909;55325773;55325845;55337492;2.23
21;5463;chr3;-;20022751;20023009;20023058;20025144;1.52
22;5471;chr3;-;25811717;25819101;25819159;26032164;2.06
23;5550;chr3;-;58669074;58676624;58676676;58688710;1
24;5638;chr3;-;86628653;86634747;86634793;86635655;10.5
25;6276;chr4;+;42962877;42963672;42963815;42966013;4.49
26;7496;chr4;-;90920259;90920833;90920870;90927452;1.85
27;7643;chr4;-;117889795;117890618;117890649;117893098;29.28
28;7812;chr4;-;131513735;131518840;131518901;131523703;1.65
29;7813;chr4;-;131518902;131519845;131519885;131520046;1.76
30;7814;chr4;-;131518902;131520047;131520102;131523703;3
31;7915;chr4;-;140139848;140142700;140142815;140147733;1.35
32;8121;chr4;-;155541919;155542656;155542678;155542842;2.26
33;8189;chr5;+;20040345;20049404;20049444;20056025;5.68
34;8581;chr5;+;82170172;82187012;82187037;82189652;1.58
35;8619;chr5;+;88994502;89027462;89027514;89043966;1.13
36;9621;chr5;-;84537082;84546587;84546651;84571303;1.02
37;9953;chr5;-;124081179;124085184;124085287;124090503;1.02
38;10262;chr6;+;17798080;17800358;17800425;17802258;12.77
39;11120;chr6;+;146945005;146945332;146945423;146946689;1.52
