1;13151;chr2;+;159530512;159533250;159533379;159535092;-1
2;16035;chr15;+;63353472;63353911;63353987;63354413;-1
3;18400;chr11;+;46681035;46686398;46686509;46686932;-1
4;18685;chr4;-;83778917;83783686;83783725;83784470;-1
5;23919;chr6;+;71483128;71501391;71501472;71508359;-1
6;30673;chr16;-;70712312;70713217;70713226;70713532;-1
7;34140;chr17;-;74085401;74086409;74086478;74090494;-1
8;34149;chr17;-;74085401;74087223;74087316;74090494;-1
9;34606;chr14;-;36159209;36169367;36169508;36190893;-1
10;36392;chr2;-;165557266;165559613;165559730;165560953;-1
11;38144;chr9;-;131030803;131035063;131035144;131036128;-1
12;41589;chr2;-;162902122;162903211;162903315;162903424;-1
13;42008;chr6;+;142703156;142704896;142704980;142711394;-1
14;49973;chr15;+;75305146;75308933;75309090;75310210;-1
15;57371;chr4;+;95497185;95506136;95506154;95506715;-1
16;59675;chrX;-;128626070;128627016;128627052;128630726;1
17;64027;chr13;-;37583946;37584688;37584792;37586328;-1
18;64095;chr11;+;57529518;57556508;57556627;57558856;-1
19;64104;chr11;+;57529518;57558965;57559145;57561481;-1
20;7971;chr11;+;20070741;20071381;20071447;20072834;-1
21;501;chr11;-;10822634;10823207;10823321;10823595;-1
22;57899;chr20;+;57470739;57473995;57474040;57478585;-1
23;10401;chr14;+;56139730;56139889;56139973;56142552;1
24;64097;chr11;+;57529518;57558856;57559145;57561481;-1
25;64098;chr11;+;57573507;57573932;57573950;57574386;-1
26;16040;chr15;+;63353138;63353396;63353472;63353911;1
27;57898;chr20;+;57470739;57473995;57474040;57478582;-1
28;62959;chr11;-;62400986;62401781;62401847;62402292;-1
29;54007;chrX;+;30742298;30745582;30745669;30746848;-1
30;63627;chrX;-;2876476;2877643;2877929;2878418;-1
31;28758;chr12;-;110934008;110937339;110937351;110939853;-1
32;6630;chr14;+;39788495;39790131;39790260;39796067;-1
33;55018;chr17;+;66508283;66511127;66511260;66511534;-1
34;52778;chr16;+;24803138;24804793;24804970;24805864;-1
35;51182;chr2;+;204260503;204261507;204261690;204267298;-1
36;45255;chr4;-;186551752;186560030;186560189;186567821;-1
37;33735;chr4;-;83346036;83346715;83346820;83347189;1
38;55017;chr17;+;66508689;66511127;66511260;66511534;-1
39;43018;chr19;-;43015072;43015727;43015780;43016501;-1
40;9041;chr20;-;47770608;47782533;47782822;47790731;-1
41;26143;chr4;-;83280792;83292680;83292737;83294598;-1
42;36388;chr2;-;97271248;97272706;97272784;97274244;-1
43;8312;chr3;-;37107433;37107714;37107816;37116514;-1
44;31797;chr13;+;113530255;113532530;113532617;113536189;-1
45;45266;chr4;-;186551752;186556508;186556565;186567821;-1
46;59010;chr2;+;234181698;234182366;234182423;234183321;-1
47;19258;chr9;+;131353904;131355261;131355321;131356453;-1
48;51230;chr21;+;30397098;30398029;30398092;30400193;-1
49;31360;chr3;+;58116635;58117653;58117746;58118534;-1
50;360;chr2;+;242255025;242256913;242257014;242263630;-1
51;10627;chr6;+;31895575;31896508;31896694;31901386;-1
52;5550;chr2;-;36785656;36787927;36788008;36805739;-1
53;1302;chr3;-;78695340;78696778;78696805;78700881;-1
54;4364;chr19;-;57335795;57337755;57337831;57347385;-1
55;48973;chr2;-;55529208;55530204;55530288;55535944;-1
56;5520;chr2;+;102476326;102477286;102477448;102480282;1
57;42760;chr9;-;134477536;134494437;134494596;134497182;-1
58;55019;chr17;+;66509111;66511127;66511260;66511534;-1
59;44238;chr20;-;34220845;34246851;34246936;34252723;1
60;30736;chr10;-;97170534;97174250;97174619;97181717;1
61;2117;chr16;-;16255421;16256849;16257049;16259479;-1
62;49406;chr20;-;45839542;45841286;45841370;45848908;1
63;8109;chr10;+;79797062;79799961;79799983;79800372;-1
64;18124;chr11;+;70266616;70267575;70267686;70269045;1
65;18882;chr12;+;987527;989886;990165;990857;-1
66;52232;chr18;-;47017954;47018105;47018203;47018644;1
67;31282;chr9;+;71863140;71864290;71864401;71865950;1
68;37119;chr1;+;11888276;11888514;11888681;11889252;-1
69;49265;chr7;-;99507283;99515394;99515508;99516631;-1
70;39161;chr1;+;183515472;183516237;183516387;183518342;-1
71;5794;chr20;+;30149539;30155880;30156027;30156922;-1
72;27900;chr1;-;23744502;23745569;23745700;23751057;-1
73;17725;chr3;-;47899002;47908735;47908828;47912302;1
74;17361;chr2;-;238486025;238486646;238486798;238494640;-1
75;20487;chr10;-;52619745;52623792;52623840;52645340;-1
76;10708;chr17;+;48814387;48814647;48814840;48817666;1
77;26826;chr14;+;37717112;37734411;37734486;37736142;-1
78;27901;chr1;-;23744502;23745569;23745632;23751057;-1
79;17717;chr3;-;47899002;47910703;47910817;47912302;1
